bot_config,lam_confirm,lam_disconfirm,session_id,round,draw_red,draw_blue,true_bayes_mode,bot_mode,modes_diverge,quadratic_score
bayesian,0.0,0.0,24,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,24,3,2,1,13,13,0,0.16518572722541386
bayesian,0.0,0.0,24,4,2,1,13,13,0,0.17174554358161717
bayesian,0.0,0.0,24,5,2,1,13,13,0,0.12947396111233592
bayesian,0.0,0.0,25,1,3,0,20,20,0,-0.0438381668456856
bayesian,0.0,0.0,25,2,2,1,17,17,0,-0.009051427588579297
bayesian,0.0,0.0,25,3,0,3,11,11,0,0.19219197678078132
bayesian,0.0,0.0,25,4,3,0,13,13,0,0.1717455435816172
bayesian,0.0,0.0,25,5,1,2,12,12,0,0.3809107442517138
bayesian,0.0,0.0,26,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,26,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,26,3,1,2,11,11,0,0.19219197678078132
bayesian,0.0,0.0,26,4,2,1,12,12,0,0.27428071831633094
bayesian,0.0,0.0,26,5,2,1,12,12,0,0.3809107442517137
bayesian,0.0,0.0,27,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,27,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,27,3,2,1,13,13,0,0.16518572722541386
bayesian,0.0,0.0,27,4,2,1,13,13,0,0.17174554358161717
bayesian,0.0,0.0,27,5,2,1,13,13,0,0.12947396111233592
bayesian,0.0,0.0,28,1,3,0,20,20,0,-0.0438381668456856
bayesian,0.0,0.0,28,2,2,1,17,17,0,-0.009051427588579297
bayesian,0.0,0.0,28,3,1,2,13,13,0,0.16518572722541386
bayesian,0.0,0.0,28,4,2,1,13,13,0,0.17174554358161717
bayesian,0.0,0.0,28,5,1,2,12,12,0,0.3809107442517137
bayesian,0.0,0.0,29,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,29,2,1,2,10,10,0,0.11916638000229333
bayesian,0.0,0.0,29,3,2,1,11,11,0,0.19219197678078134
bayesian,0.0,0.0,29,4,2,1,12,12,0,0.27428071831633105
bayesian,0.0,0.0,29,5,2,1,12,12,0,0.3809107442517138
bayesian,0.0,0.0,30,1,1,2,6,6,0,0.04134622269960614
bayesian,0.0,0.0,30,2,2,1,10,10,0,0.11916638000229328
bayesian,0.0,0.0,30,3,2,1,11,11,0,0.1921919767807812
bayesian,0.0,0.0,30,4,0,3,8,8,0,-0.09935926399238201
bayesian,0.0,0.0,30,5,2,1,9,9,0,-0.1424764789409328
bayesian,0.0,0.0,31,1,1,2,6,6,0,0.04134622269960614
bayesian,0.0,0.0,31,2,2,1,10,10,0,0.11916638000229328
bayesian,0.0,0.0,31,3,3,0,13,13,0,0.16518572722541386
bayesian,0.0,0.0,31,4,2,1,13,13,0,0.17174554358161717
bayesian,0.0,0.0,31,5,1,2,12,12,0,0.3809107442517137
bayesian,0.0,0.0,32,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,32,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,32,3,1,2,11,11,0,0.19219197678078132
bayesian,0.0,0.0,32,4,2,1,12,12,0,0.27428071831633094
bayesian,0.0,0.0,32,5,3,0,13,13,0,0.12947396111233592
bayesian,0.0,0.0,33,1,0,3,0,0,0,-0.09864184270199308
